Name,Season,Ranking,Driving Distance,Driving Accuracy,Club Head Speed,Ball Speed,Spin Rate,Eligible
Kiradech Aphibarnrat,2019,83,293.3,62.93,113.17,169.28,2680.4,-1.0
Cameron Smith,2019,84,295.1,58.98,112.05,168.93,2345.5,-1.0
Danny Willett,2019,85,294.2,58.52,113.01,169.94,2293.3,-1.0
Matt Every,2019,86,294.6,62.75,114.67,171.84,2449.9,-1.0
Russell Henley,2019,87,288.1,69.53,110.05,165.17,2462.0,-1.0
Brian Harman,2019,88,288.9,67.34,110.46,165.0,2553.4,-1.0
Michael Thompson,2019,89,288.8,69.26,110.63,166.32,2616.9,-1.0
Henrik Stenson,2019,90,282.7,72.13,115.61,171.69,2585.1,-1.0
Matt Jones,2019,91,294.6,62.42,116.32,173.57,2983.8,-1.0
Luke List,2019,92,314.2,53.87,121.92,181.52,2790.8,-1.0
Roger Sloan,2019,93,296.6,61.61,114.34,170.9,2879.5,-1.0
Sam Burns,2019,94,307.2,57.17,120.12,179.23,2589.2,-1.0
Bud Cauley,2019,95,293.8,63.13,111.73,168.31,2508.6,-1.0
Andrew Landry,2019,96,287.3,71.84,108.98,163.87,2639.5,-1.0
Nick Watney,2019,97,302.2,59.22,119.64,179.57,2732.3,-1.0
Mackenzie Hughes,2019,98,298.0,58.13,116.62,173.38,2723.1,-1.0
J.J. Spaun,2019,99,290.9,63.9,112.8,168.6,2674.8,-1.0
Ryan Armour,2019,100,278.1,73.43,107.23,161.17,2537.3,-1.0
Talor Gooch,2019,101,297.8,59.51,120.16,175.81,2859.0,-1.0
Chris Stroud,2019,102,290.0,58.19,111.59,167.29,2613.5,-1.0
Kyle Stanley,2019,103,289.8,68.65,110.85,166.02,2797.6,-1.0
Brice Garnett,2019,104,287.9,71.2,111.2,167.32,2767.1,-1.0
Patrick Rodgers,2019,105,299.9,56.95,120.24,178.37,2509.4,-1.0
